sample,hour0_control,hour0_wounded,hour1_control,hour1_wounded,hour2_control,hour2_wounded,hour4_control,hour4_wounded
0301C1,1,0,0,0,0,0,0,0
0302C2,1,0,0,0,0,0,0,0
0303C3,1,0,0,0,0,0,0,0
0304X,0,1,0,0,0,0,0,0
0305Y,0,1,0,0,0,0,0,0
0306Z,0,1,0,0,0,0,0,0
1307C1,0,0,1,0,0,0,0,0
1308C2,0,0,1,0,0,0,0,0
1309C3,0,0,1,0,0,0,0,0
1310X,0,0,0,1,0,0,0,0
1311Y,0,0,0,1,0,0,0,0
1312Z,0,0,0,1,0,0,0,0
2313C1,0,0,0,0,1,0,0,0
2314C2,0,0,0,0,1,0,0,0
2315C3,0,0,0,0,1,0,0,0
2316X,0,0,0,0,0,1,0,0
2317Y,0,0,0,0,0,1,0,0
2318Z,0,0,0,0,0,1,0,0
4325C1,0,0,0,0,0,0,1,0
4326C2,0,0,0,0,0,0,1,0
4327C3,0,0,0,0,0,0,1,0
4328X,0,0,0,0,0,0,0,1
4329Y,0,0,0,0,0,0,0,1
4330Z,0,0,0,0,0,0,0,1